workload,gap_tsc_ticks,k_prefill,median_submit_ns,avg_prefill_submit_tsc_ticks,median_prefill_submit_tsc_ticks,median_post_submit_completion_tsc_ticks,min_completed,max_completed
noop,0,96,13.0,596.24,592.0,23123.0,96,96
noop,0,108,13.0,668.58,668.0,25736.0,108,108
noop,0,112,13.0,666.58,692.0,26749.0,112,112
noop,0,114,106.0,621.41,506.0,26855.0,114,114
noop,0,115,106.0,521.13,520.0,27101.0,115,115
noop,0,116,105.5,582.43,582.0,27076.0,116,116
noop,0,120,105.0,1516.94,1516.0,27167.0,120,120
noop,0,124,105.0,2454.17,2454.0,27166.0,124,124
noop,0,128,105.0,3390.15,3391.0,27156.0,128,128
noop,0,136,105.0,5245.18,5244.0,27050.0,136,136
noop,0,144,105.0,7129.23,7128.0,27206.0,144,144
noop,0,160,105.0,10873.51,10876.0,27128.0,160,160
noop,1,96,13.0,4190.26,3952.0,19672.0,96,96
noop,1,108,13.0,4444.78,4442.0,22067.0,108,108
noop,1,112,11.0,4258.57,4298.0,23006.0,112,112
noop,1,114,10.0,3819.22,3750.0,23833.0,114,114
noop,1,115,9.0,3397.37,3396.0,24138.0,115,115
noop,1,116,9.0,3426.62,3424.0,24405.0,116,116
noop,1,120,9.0,3608.1,3542.0,25132.0,120,120
noop,1,124,9.0,3660.42,3658.0,25934.0,124,124
noop,1,128,104.0,3950.65,3783.0,26804.0,128,128
noop,1,136,107.0,5315.54,5312.0,27260.0,136,136
noop,1,144,107.0,7346.27,7200.0,27285.0,144,144
noop,1,160,107.0,10954.32,10956.0,27257.0,160,160
noop,10,96,13.0,4255.26,3954.0,19714.0,96,96
noop,10,108,13.0,4446.24,4442.0,22110.0,108,108
noop,10,112,12.0,4437.7,4401.0,22810.0,112,112
noop,10,114,9.0,3529.56,3366.0,23953.0,114,114
noop,10,115,9.0,3398.01,3394.0,24207.0,115,115
noop,10,116,9.0,3529.85,3424.0,24397.0,116,116
noop,10,120,9.0,3543.44,3542.0,25214.0,120,120
noop,10,124,9.0,3661.57,3660.0,26031.0,124,124
noop,10,128,107.5,3778.19,3776.0,26715.0,128,128
noop,10,136,106.0,5264.47,5264.0,27148.0,136,136
noop,10,144,105.0,7132.51,7135.0,27101.0,144,144
noop,10,160,105.0,10874.97,10875.0,27162.0,160,160
noop,25,96,13.0,5916.68,5912.0,17685.0,96,96
noop,25,108,13.0,6772.11,6652.0,19864.0,108,108
noop,25,112,12.0,6004.12,6436.0,20891.0,112,112
noop,25,114,9.0,5201.27,5040.0,22368.0,114,114
noop,25,115,9.0,5084.51,5083.0,22490.0,115,115
noop,25,116,9.0,5127.29,5128.0,22688.0,116,116
noop,25,120,9.0,5412.98,5304.0,23328.0,120,120
noop,25,124,10.0,6106.92,6106.0,23690.0,124,124
noop,25,128,10.0,6301.46,6302.0,24479.0,128,128
noop,25,136,10.0,6693.57,6694.0,25874.0,136,136
noop,25,144,106.0,7169.05,7164.0,27140.0,144,144
noop,25,160,105.0,10895.53,10894.0,27078.0,160,160
noop,50,96,13.0,8696.29,7878.0,15768.0,96,96
noop,50,108,13.0,8858.3,8858.0,17674.0,108,108
noop,50,112,10.0,8818.24,9078.0,18131.0,112,112
noop,50,114,9.0,8431.32,8382.0,18912.0,114,114
