workload,gap_tsc_ticks,k_prefill,samples,median_submit_ns,p90_submit_ns,p99_submit_ns,median_prefill_submit_tsc_ticks,avg_prefill_submit_tsc_ticks,median_post_submit_completion_tsc_ticks,min_prefill_completed,max_prefill_completed,min_trace_completed,max_trace_completed,min_trace_missing,max_trace_missing,trace_errors_max,drain_completed_samples,drain_incomplete_samples,drain_statuses
noop,0,96,10,44.0,118,197,714.0,749,23495.0,96,96,97,97,0,0,0,10,0,1
noop,0,114,10,216.0,221,225,803.0,857.4,28412.0,114,114,115,115,0,0,0,10,0,1
noop,0,128,10,215.5,218,219,3489.0,3550.4,29731.0,128,128,129,129,0,0,0,10,0,1
noop,0,160,10,215.0,219,224,11775.0,11833.2,28451.0,160,160,161,161,0,0,0,10,0,1
noop,0,192,10,216.0,218,221,19401.0,19471.4,28590.0,192,192,193,193,0,0,0,10,0,1
noop,0,224,10,216.5,219,221,27100.0,27145.4,28956.0,224,224,225,225,0,0,0,10,0,1
noop,0,256,10,211.5,215,215,34775.0,34818.6,28916.0,256,256,257,257,0,0,0,10,0,1
noop,0,288,10,215.0,221,223,42355.0,42407.8,29853.0,288,288,289,289,0,0,0,10,0,1
noop,0,320,10,217.0,219,223,50086.0,50124.8,31888.0,320,320,321,321,0,0,0,10,0,1
noop,1,96,10,13.0,13,14,5009.0,5335.8,19894.0,96,96,97,97,0,0,0,10,0,1
noop,1,114,10,22.0,205,206,7960.0,7808.2,21529.0,114,114,115,115,0,0,0,10,0,1
noop,1,128,10,12.0,13,206,8711.0,8602.2,24651.0,128,128,129,129,0,0,0,10,0,1
noop,1,160,10,216.5,218,220,11858.0,11913.4,29619.0,160,160,161,161,0,0,0,10,0,1
noop,1,192,10,215.5,217,221,19428.0,19493.2,30121.0,192,192,193,193,0,0,0,10,0,1
noop,1,224,10,215.0,217,217,27098.0,27167.8,30002.0,224,224,225,225,0,0,0,10,0,1
noop,1,256,10,212.0,216,217,34794.0,34838,28848.0,256,256,257,257,0,0,0,10,0,1
noop,1,288,10,215.5,218,221,42400.0,42445.2,29091.0,288,288,289,289,0,0,0,10,0,1
noop,1,320,10,216.5,217,223,50006.0,50072.6,29326.0,320,320,321,321,0,0,0,10,0,1
noop,10,96,10,13.0,13,13,4983.0,5318.6,19635.0,96,96,97,97,0,0,0,10,0,1
noop,10,114,10,13.0,32,267,8321.0,8006.8,20886.0,114,114,115,115,0,0,0,10,0,1
noop,10,128,10,214.5,238,720,17414.0,17438.2,15305.0,128,128,129,129,0,0,0,10,0,1
noop,10,160,10,212.5,218,221,24070.0,24385.2,14548.0,160,160,161,161,0,0,0,10,0,1
noop,10,192,10,212.0,218,223,32308.0,32363.8,18508.0,192,192,193,193,0,0,0,10,0,1
noop,10,224,10,217.0,217,217,27169.0,27211.4,28877.0,224,224,225,225,0,0,0,10,0,1
noop,10,256,10,216.0,221,222,34763.0,34812.6,29551.0,256,256,257,257,0,0,0,10,0,1
noop,10,288,10,213.5,216,221,41603.0,41683.6,29021.0,288,288,289,289,0,0,0,10,0,1
noop,10,320,10,216.5,223,228,50142.0,50175.6,32279.0,320,320,321,321,0,0,0,10,0,1
noop,25,96,10,12.0,13,13,9553.0,9622,15381.0,96,96,97,97,0,0,0,10,0,1
noop,25,114,10,12.0,13,13,10367.0,10503.6,18770.0,114,114,115,115,0,0,0,10,0,1
noop,25,128,10,12.0,13,13,11175.0,11202,22305.0,128,128,129,129,0,0,0,10,0,1
