op,k,submitted,completed_med,missing_med,errors_med,extra_tsc_med,extra_ns_med,extra_tsc_p99,first_old_tsc_med
noop,0,1,1,0,0,28,12,30,
noop,32,33,33,0,0,28,12,32,770
noop,64,65,65,0,0,30,13,32,1406
noop,96,97,97,0,0,24,10,26,1284
noop,112,113,113,0,0,22,9,26,4172
noop,120,121,121,0,0,222,100,238,4902
noop,124,125,125,0,0,224,101,238,4904
noop,126,127,127,0,0,224,101,238,4900
noop,127,128,128,0,0,224,101,238,4900
noop,128,129,129,0,0,224,101,238,4924
noop,129,130,130,0,0,222,100,236,4904
noop,132,133,133,0,0,224,101,238,4902
noop,136,137,137,0,0,216,98,228,4890
noop,144,145,145,0,0,216,98,228,4892
noop,160,161,161,0,0,216,98,230,4896
memmove64,0,1,1,0,0,24,10,26,
memmove64,32,33,33,0,0,30,13,36,1586
memmove64,64,65,65,0,0,32,14,34,1434
memmove64,96,97,97,0,0,30,13,88,1274
memmove64,112,113,113,0,0,30,13,32,4144
memmove64,120,121,121,0,0,220,99,238,4976
memmove64,124,125,125,0,0,226,102,242,4990
memmove64,126,127,127,0,0,226,102,242,4988
memmove64,127,128,128,0,0,226,102,242,4982
memmove64,128,129,129,0,0,226,102,240,4948
memmove64,129,130,130,0,0,224,101,238,4920
memmove64,132,133,133,0,0,224,101,238,4910
memmove64,136,137,137,0,0,224,101,238,4900
memmove64,144,145,145,0,0,224,101,238,4898
memmove64,160,161,161,0,0,224,101,238,4908
