operation,pattern,polling_mode,queue_type,concurrency,msg_size,batch_size,bandwidth_gbps,msg_rate_mps,page_faults,latency_min_ns,latency_max_ns,latency_avg_ns,latency_p50_ns,latency_p99_ns,latency_count
data_move,sliding_window_reusable_bs1,inline,NoLock,1024,8,1,0.0373418,5.01194,0,0,0,0,0,0,0
data_move,sliding_window_reusable_bs1,inline,Mutex,1024,8,1,0,0,0,0,0,0,0,0,0
data_move,sliding_window_reusable_bs1,inline,TAS,1024,8,1,0,0,0,0,0,0,0,0,0
data_move,sliding_window_reusable_bs1,inline,TTAS,1024,8,1,0,0,0,0,0,0,0,0,0
data_move,sliding_window_reusable_bs1,inline,Backoff,1024,8,1,0,0,0,0,0,0,0,0,0
data_move,sliding_window_reusable_bs1,inline,LockFree,1024,8,1,0,0,0,0,0,0,0,0,0
data_move,sliding_window_reusable_bs1,inline,Indexed,1024,8,1,0,0,0,0,0,0,0,0,0
data_move,sliding_window_reusable_bs1,inline,NoLock,1024,64,1,0.300647,5.04402,0,0,0,0,0,0,0
data_move,sliding_window_reusable_bs1,inline,Mutex,1024,64,1,0,0,0,0,0,0,0,0,0
data_move,sliding_window_reusable_bs1,inline,TAS,1024,64,1,0,0,0,0,0,0,0,0,0
data_move,sliding_window_reusable_bs1,inline,TTAS,1024,64,1,0,0,0,0,0,0,0,0,0
data_move,sliding_window_reusable_bs1,inline,Backoff,1024,64,1,0,0,0,0,0,0,0,0,0
data_move,sliding_window_reusable_bs1,inline,LockFree,1024,64,1,0,0,0,0,0,0,0,0,0
data_move,sliding_window_reusable_bs1,inline,Indexed,1024,64,1,0,0,0,0,0,0,0,0,0
data_move,sliding_window_reusable_bs1,inline,NoLock,1024,256,1,1.23218,5.16815,0,0,0,0,0,0,0
data_move,sliding_window_reusable_bs1,inline,Mutex,1024,256,1,0,0,0,0,0,0,0,0,0
data_move,sliding_window_reusable_bs1,inline,TAS,1024,256,1,0,0,0,0,0,0,0,0,0
data_move,sliding_window_reusable_bs1,inline,TTAS,1024,256,1,0,0,0,0,0,0,0,0,0
data_move,sliding_window_reusable_bs1,inline,Backoff,1024,256,1,0,0,0,0,0,0,0,0,0
data_move,sliding_window_reusable_bs1,inline,LockFree,1024,256,1,0,0,0,0,0,0,0,0,0
data_move,sliding_window_reusable_bs1,inline,Indexed,1024,256,1,0,0,0,0,0,0,0,0,0
data_move,sliding_window_reusable_bs1,inline,NoLock,1024,1024,1,4.81698,5.05097,0,0,0,0,0,0,0
data_move,sliding_window_reusable_bs1,inline,Mutex,1024,1024,1,0,0,0,0,0,0,0,0,0
data_move,sliding_window_reusable_bs1,inline,TAS,1024,1024,1,0,0,0,0,0,0,0,0,0
data_move,sliding_window_reusable_bs1,inline,TTAS,1024,1024,1,0,0,0,0,0,0,0,0,0
data_move,sliding_window_reusable_bs1,inline,Backoff,1024,1024,1,0,0,0,0,0,0,0,0,0
data_move,sliding_window_reusable_bs1,inline,LockFree,1024,1024,1,0,0,0,0,0,0,0,0,0
data_move,sliding_window_reusable_bs1,inline,Indexed,1024,1024,1,0,0,0,0,0,0,0,0,0
data_move,sliding_window_reusable_bs1,inline,NoLock,1024,2048,1,9.92417,5.20312,0,0,0,0,0,0,0
data_move,sliding_window_reusable_bs1,inline,Mutex,1024,2048,1,0,0,0,0,0,0,0,0,0
data_move,sliding_window_reusable_bs1,inline,TAS,1024,2048,1,0,0,0,0,0,0,0,0,0
data_move,sliding_window_reusable_bs1,inline,TTAS,1024,2048,1,0,0,0,0,0,0,0,0,0
data_move,sliding_window_reusable_bs1,inline,Backoff,1024,2048,1,0,0,0,0,0,0,0,0,0
data_move,sliding_window_reusable_bs1,inline,LockFree,1024,2048,1,0,0,0,0,0,0,0,0,0
data_move,sliding_window_reusable_bs1,inline,Indexed,1024,2048,1,0,0,0,0,0,0,0,0,0
data_move,sliding_window_reusable_bs1,inline,NoLock,1024,4096,1,19.9167,5.22105,0,0,0,0,0,0,0
data_move,sliding_window_reusable_bs1,inline,Mutex,1024,4096,1,0,0,0,0,0,0,0,0,0
data_move,sliding_window_reusable_bs1,inline,TAS,1024,4096,1,0,0,0,0,0,0,0,0,0
data_move,sliding_window_reusable_bs1,inline,TTAS,1024,4096,1,0,0,0,0,0,0,0,0,0
data_move,sliding_window_reusable_bs1,inline,Backoff,1024,4096,1,0,0,0,0,0,0,0,0,0
data_move,sliding_window_reusable_bs1,inline,LockFree,1024,4096,1,0,0,0,0,0,0,0,0,0
data_move,sliding_window_reusable_bs1,inline,Indexed,1024,4096,1,0,0,0,0,0,0,0,0,0
data_move,sliding_window_reusable_bs1,inline,NoLock,1024,65536,1,26.3872,0.432328,0,0,0,0,0,0,0
data_move,sliding_window_reusable_bs1,inline,Mutex,1024,65536,1,0,0,0,0,0,0,0,0,0
data_move,sliding_window_reusable_bs1,inline,TAS,1024,65536,1,0,0,0,0,0,0,0,0,0
data_move,sliding_window_reusable_bs1,inline,TTAS,1024,65536,1,0,0,0,0,0,0,0,0,0
data_move,sliding_window_reusable_bs1,inline,Backoff,1024,65536,1,0,0,0,0,0,0,0,0,0
data_move,sliding_window_reusable_bs1,inline,LockFree,1024,65536,1,0,0,0,0,0,0,0,0,0
data_move,sliding_window_reusable_bs1,inline,Indexed,1024,65536,1,0,0,0,0,0,0,0,0,0
data_move,sliding_window_reusable_bs1,inline,NoLock,2048,8,1,0.0383915,5.15282,0,0,0,0,0,0,0
data_move,sliding_window_reusable_bs1,inline,Mutex,2048,8,1,0,0,0,0,0,0,0,0,0
data_move,sliding_window_reusable_bs1,inline,TAS,2048,8,1,0,0,0,0,0,0,0,0,0
data_move,sliding_window_reusable_bs1,inline,TTAS,2048,8,1,0,0,0,0,0,0,0,0,0
data_move,sliding_window_reusable_bs1,inline,Backoff,2048,8,1,0,0,0,0,0,0,0,0,0
data_move,sliding_window_reusable_bs1,inline,LockFree,2048,8,1,0,0,0,0,0,0,0,0,0
data_move,sliding_window_reusable_bs1,inline,Indexed,2048,8,1,0,0,0,0,0,0,0,0,0
data_move,sliding_window_reusable_bs1,inline,NoLock,2048,64,1,0.307585,5.16042,0,0,0,0,0,0,0
data_move,sliding_window_reusable_bs1,inline,Mutex,2048,64,1,0,0,0,0,0,0,0,0,0
data_move,sliding_window_reusable_bs1,inline,TAS,2048,64,1,0,0,0,0,0,0,0,0,0
data_move,sliding_window_reusable_bs1,inline,TTAS,2048,64,1,0,0,0,0,0,0,0,0,0
data_move,sliding_window_reusable_bs1,inline,Backoff,2048,64,1,0,0,0,0,0,0,0,0,0
data_move,sliding_window_reusable_bs1,inline,LockFree,2048,64,1,0,0,0,0,0,0,0,0,0
data_move,sliding_window_reusable_bs1,inline,Indexed,2048,64,1,0,0,0,0,0,0,0,0,0
data_move,sliding_window_reusable_bs1,inline,NoLock,2048,256,1,1.17507,4.92859,0,0,0,0,0,0,0
data_move,sliding_window_reusable_bs1,inline,Mutex,2048,256,1,0,0,0,0,0,0,0,0,0
data_move,sliding_window_reusable_bs1,inline,TAS,2048,256,1,0,0,0,0,0,0,0,0,0
data_move,sliding_window_reusable_bs1,inline,TTAS,2048,256,1,0,0,0,0,0,0,0,0,0
data_move,sliding_window_reusable_bs1,inline,Backoff,2048,256,1,0,0,0,0,0,0,0,0,0
data_move,sliding_window_reusable_bs1,inline,LockFree,2048,256,1,0,0,0,0,0,0,0,0,0
data_move,sliding_window_reusable_bs1,inline,Indexed,2048,256,1,0,0,0,0,0,0,0,0,0
data_move,sliding_window_reusable_bs1,inline,NoLock,2048,1024,1,4.94833,5.1887,0,0,0,0,0,0,0
data_move,sliding_window_reusable_bs1,inline,Mutex,2048,1024,1,0,0,0,0,0,0,0,0,0
data_move,sliding_window_reusable_bs1,inline,TAS,2048,1024,1,0,0,0,0,0,0,0,0,0
data_move,sliding_window_reusable_bs1,inline,TTAS,2048,1024,1,0,0,0,0,0,0,0,0,0
data_move,sliding_window_reusable_bs1,inline,Backoff,2048,1024,1,0,0,0,0,0,0,0,0,0
data_move,sliding_window_reusable_bs1,inline,LockFree,2048,1024,1,0,0,0,0,0,0,0,0,0
data_move,sliding_window_reusable_bs1,inline,Indexed,2048,1024,1,0,0,0,0,0,0,0,0,0
data_move,sliding_window_reusable_bs1,inline,NoLock,2048,2048,1,9.90187,5.19143,0,0,0,0,0,0,0
data_move,sliding_window_reusable_bs1,inline,Mutex,2048,2048,1,0,0,0,0,0,0,0,0,0
data_move,sliding_window_reusable_bs1,inline,TAS,2048,2048,1,0,0,0,0,0,0,0,0,0
data_move,sliding_window_reusable_bs1,inline,TTAS,2048,2048,1,0,0,0,0,0,0,0,0,0
data_move,sliding_window_reusable_bs1,inline,Backoff,2048,2048,1,0,0,0,0,0,0,0,0,0
data_move,sliding_window_reusable_bs1,inline,LockFree,2048,2048,1,0,0,0,0,0,0,0,0,0
data_move,sliding_window_reusable_bs1,inline,Indexed,2048,2048,1,0,0,0,0,0,0,0,0,0
data_move,sliding_window_reusable_bs1,inline,NoLock,2048,4096,1,19.8134,5.19396,0,0,0,0,0,0,0
