operation,pattern,polling_mode,queue_type,concurrency,msg_size,bandwidth_gbps,msg_rate_mps,page_faults,latency_min_ns,latency_max_ns,latency_avg_ns,latency_p50_ns,latency_p99_ns,latency_count
data_move,sliding_window_noalloc_fixed_ring_batch,inline,NoLock,1,256,0,0,0,0,0,0,0,0,0
data_move,sliding_window_noalloc_fixed_ring_batch,inline,Mutex,1,256,0.110864,0.464997,0,1435,90525,2091.18,2207,2436,98304
data_move,sliding_window_noalloc_fixed_ring_batch,inline,TAS,1,256,0,0,0,0,0,0,0,0,0
data_move,sliding_window_noalloc_fixed_ring_batch,inline,TTAS,1,256,0,0,0,0,0,0,0,0,0
data_move,sliding_window_noalloc_fixed_ring_batch,inline,Backoff,1,256,0,0,0,0,0,0,0,0,0
data_move,sliding_window_noalloc_fixed_ring_batch,inline,LockFree,1,256,0,0,0,0,0,0,0,0,0
data_move,sliding_window_noalloc_fixed_ring_batch,inline,NoLock,1,1024,0,0,0,0,0,0,0,0,0
data_move,sliding_window_noalloc_fixed_ring_batch,inline,Mutex,1,1024,0.634225,0.665033,0,1104,58048,1467.84,1498,1708,24576
data_move,sliding_window_noalloc_fixed_ring_batch,inline,TAS,1,1024,0,0,0,0,0,0,0,0,0
data_move,sliding_window_noalloc_fixed_ring_batch,inline,TTAS,1,1024,0,0,0,0,0,0,0,0,0
data_move,sliding_window_noalloc_fixed_ring_batch,inline,Backoff,1,1024,0,0,0,0,0,0,0,0,0
data_move,sliding_window_noalloc_fixed_ring_batch,inline,LockFree,1,1024,0,0,0,0,0,0,0,0,0
data_move,sliding_window_noalloc_fixed_ring_batch,inline,NoLock,1,4096,0,0,0,0,0,0,0,0,0
data_move,sliding_window_noalloc_fixed_ring_batch,inline,Mutex,1,4096,2.85175,0.74757,0,1153,18336,1302.66,1271,1503,6144
data_move,sliding_window_noalloc_fixed_ring_batch,inline,TAS,1,4096,0,0,0,0,0,0,0,0,0
data_move,sliding_window_noalloc_fixed_ring_batch,inline,TTAS,1,4096,0,0,0,0,0,0,0,0,0
data_move,sliding_window_noalloc_fixed_ring_batch,inline,Backoff,1,4096,0,0,0,0,0,0,0,0,0
data_move,sliding_window_noalloc_fixed_ring_batch,inline,LockFree,1,4096,0,0,0,0,0,0,0,0,0
data_move,sliding_window_noalloc_fixed_ring_batch,inline,NoLock,1,16384,0,0,0,0,0,0,0,0,0
data_move,sliding_window_noalloc_fixed_ring_batch,inline,Mutex,1,16384,8.44951,0.553747,0,1577,10283,1770.81,1751,2118,1536
data_move,sliding_window_noalloc_fixed_ring_batch,inline,TAS,1,16384,0,0,0,0,0,0,0,0,0
data_move,sliding_window_noalloc_fixed_ring_batch,inline,TTAS,1,16384,0,0,0,0,0,0,0,0,0
