workload,spin,k_prefill,median_submit_ns,p90_submit_ns,p99_submit_ns,avg_prefill_submit_tsc_ticks,median_prefill_submit_ns,median_post_submit_completion_ns,min_completed,max_completed
noop,0,96,12.0,13,14,689.42,303.0,11325.0,96,96
noop,0,108,13.0,13,14,764.84,305.0,11983.5,108,108
noop,0,112,12.0,13,13,767.22,353.0,12487.0,112,112
noop,0,114,107.0,108,112,4239.4,348.0,12562.5,114,114
noop,0,115,106.0,109,112,1036.43,323.5,12633.5,115,115
noop,0,116,105.0,109,111,605.18,266.0,12694.0,116,116
noop,0,120,104.0,109,110,1505.58,682.0,12735.0,120,120
noop,0,124,104.0,109,111,2440.44,1106.5,12773.0,124,124
noop,0,128,104.0,109,110,3440.05,1532.5,12764.0,128,128
noop,0,136,104.0,109,110,7900.82,2386.5,12756.5,136,136
noop,0,144,104.0,109,110,7175.52,3231.0,12802.5,144,144
noop,0,160,104.0,109,110,10963.95,4926.0,12902.5,160,160
noop,1,96,13.0,14,17,18439.62,8031.5,3756.0,96,96
noop,1,108,13.0,13,14,20196.43,9186.0,3119.5,108,108
noop,1,112,9.0,11,12,20774.11,9399.0,3122.5,112,112
noop,1,114,9.0,9,9,21171.4,9602.0,3046.0,114,114
noop,1,115,9.0,9,9,21397.86,9708.0,3051.0,115,115
noop,1,116,9.0,9,9,21676.04,9815.0,2987.0,116,116
noop,1,120,9.0,10,11,23304.65,10241.0,3179.5,120,120
noop,1,124,9.0,9,9,23597.41,10667.0,3260.0,124,124
noop,1,128,9.0,9,9,24447.95,11092.0,3220.0,128,128
noop,1,136,9.0,9,9,26482.29,11935.0,3173.0,136,136
noop,1,144,9.0,9,9,28173.67,12783.0,3200.0,144,144
noop,1,160,9.0,9,11,32315.84,14474.5,3326.0,160,160
noop,2,96,13.0,14,16,19557.52,8665.0,3074.0,96,96
noop,2,108,12.0,13,14,21678.75,9831.0,2495.5,108,108
noop,2,112,9.0,11,12,22145.53,10029.0,2515.0,112,112
noop,2,114,9.0,9,9,22566.95,10241.0,2412.0,114,114
noop,2,115,9.0,9,9,22855.55,10348.0,2422.0,115,115
noop,2,116,9.0,9,9,23024.78,10446.0,2563.0,116,116
noop,2,120,9.0,9,10,24293.24,10880.0,2543.0,120,120
noop,2,124,9.0,9,9,24948.19,11299.5,2562.5,124,124
noop,2,128,9.0,9,9,25833.88,11721.0,2556.0,128,128
noop,2,136,9.0,9,9,27698.23,12567.0,2548.0,136,136
noop,2,144,9.0,9,9,29630.94,13413.5,2574.0,144,144
noop,2,160,9.0,9,11,33714.75,15124.0,2690.0,160,160
noop,5,96,12.0,13,13,20861.75,9403.0,2250.0,96,96
noop,5,108,12.0,13,13,23444.27,10681.5,1548.0,108,108
