workload,gap_tsc_ticks,k_prefill,submitted,samples,median_submit_ns,p90_submit_ns,p99_submit_ns,median_prefill_submit_tsc_ticks,avg_prefill_submit_tsc_ticks,median_post_submit_completion_tsc_ticks,min_prefill_completed,max_prefill_completed,median_hardware_observed,min_hardware_observed,max_hardware_observed,min_trace_missing,max_trace_missing,trace_errors_max,drain_completed_samples,drain_incomplete_samples,drain_statuses
noop,0,96,97,10,33.0,45,73,661.0,718,23564.0,96,96,97.0,97,97,0,0,0,10,0,1
noop,0,114,115,10,215.5,220,222,791.0,850.4,28433.0,114,114,115.0,115,115,0,0,0,10,0,1
noop,0,128,129,10,207.5,209,215,17174.0,17214.8,14905.0,128,128,129.0,129,129,0,0,0,10,0,1
noop,0,160,161,10,210.5,215,215,24840.0,21550.2,14493.0,160,160,161.0,161,161,0,0,0,10,0,1
noop,0,192,193,10,215.0,221,222,19336.0,19444.8,29727.0,192,192,193.0,193,193,0,0,0,10,0,1
noop,0,224,225,10,212.0,215,219,39750.0,40251,17237.0,224,224,225.0,225,225,0,0,0,10,0,1
noop,0,256,257,10,207.5,217,228,47394.0,47633.6,17341.0,256,256,257.0,257,257,0,0,0,10,0,1
noop,0,288,289,10,215.0,216,217,42338.0,42410.8,29447.0,288,288,289.0,289,289,0,0,0,10,0,1
noop,0,320,321,10,209.0,215,216,63032.0,64261.4,18926.0,320,320,321.0,321,321,0,0,0,10,0,1
noop,1,96,97,10,13.0,14,14,5008.0,5323.6,20003.0,96,96,97.0,97,97,0,0,0,10,0,1
noop,1,114,115,10,212.5,232,235,14186.0,14211.4,14936.0,114,114,115.0,115,115,0,0,0,10,0,1
noop,1,128,129,10,12.0,13,109,8709.0,8538,24627.0,128,128,129.0,129,129,0,0,0,10,0,1
noop,1,160,161,10,209.0,220,240,24994.0,26230.8,16256.0,160,160,161.0,161,161,0,0,0,10,0,1
noop,1,192,193,10,208.0,217,222,28554.0,26509.6,21498.0,192,192,193.0,193,193,0,0,0,10,0,1
noop,1,224,225,10,211.5,215,217,39580.0,41088.4,18047.0,224,224,225.0,225,225,0,0,0,10,0,1
noop,1,256,257,10,216.0,218,222,34690.0,34740.8,29236.0,256,256,257.0,257,257,0,0,0,10,0,1
noop,1,288,289,10,208.5,217,219,55495.0,52694.2,17175.0,288,288,289.0,289,289,0,0,0,10,0,1
noop,1,320,321,10,212.0,229,237,62870.0,63404.2,17476.0,320,320,321.0,321,321,0,0,0,10,0,1
