group,case,path,threads,concurrent_requests,requests,bytes_per_request,bytes_per_iter,mean_ms,gbps,mreq_s
prost_async_payload_encode,small-bytes-4k,CPU Prost Message::encode,,,4088,4105,16781240,2.727393,6.152851,1.498867
prost_async_payload_encode,small-bytes-4k,async CPU Prost encode_async_ref,,,4088,4105,16781240,2.794484,6.005131,1.462882
prost_async_payload_encode,large-bytes,CPU Prost Message::encode,,,16,1048586,16777376,7.230844,2.320251,0.002213
prost_async_payload_encode,large-bytes,async CPU Prost encode_async_ref,,,16,1048586,16777376,7.118369,2.356913,0.002248
prost_async_payload_encode_cpu_thread_matrix,tiny-bytes-128,CPU Prost thread matrix,16,,122462,137,16777294,1.072455,15.643814,114.188425
prost_async_payload_encode_cpu_thread_matrix,tiny-bytes-512,CPU Prost thread matrix,16,,32202,521,16777242,0.674057,24.889952,47.773420
prost_async_payload_encode_cpu_thread_matrix,tiny-bytes-1024,CPU Prost thread matrix,16,,16242,1033,16777986,0.623365,26.915187,26.055360
prost_async_payload_encode_cpu_thread_matrix,small-bytes-4k,CPU Prost thread matrix,1,,4088,4105,16781240,2.828673,5.932548,1.445201
prost_async_payload_encode_cpu_thread_matrix,small-bytes-4k,CPU Prost thread matrix,2,,4088,4105,16781240,1.198007,14.007635,3.412335
prost_async_payload_encode_cpu_thread_matrix,small-bytes-4k,CPU Prost thread matrix,4,,4088,4105,16781240,0.651404,25.761655,6.275677
prost_async_payload_encode_cpu_thread_matrix,small-bytes-4k,CPU Prost thread matrix,8,,4088,4105,16781240,0.505562,33.193248,8.086053
prost_async_payload_encode_cpu_thread_matrix,small-bytes-4k,CPU Prost thread matrix,16,,4088,4105,16781240,0.521478,32.180155,7.839258
prost_async_payload_encode_cpu_thread_matrix,large-bytes,CPU Prost thread matrix,1,,16,1048586,16777376,2.294289,7.312670,0.006974
prost_async_payload_encode_cpu_thread_matrix,large-bytes,CPU Prost thread matrix,2,,16,1048586,16777376,0.798944,20.999431,0.020026
prost_async_payload_encode_cpu_thread_matrix,large-bytes,CPU Prost thread matrix,4,,16,1048586,16777376,0.559322,29.995905,0.028606
prost_async_payload_encode_cpu_thread_matrix,large-bytes,CPU Prost thread matrix,8,,16,1048586,16777376,0.468604,35.802918,0.034144
prost_async_payload_encode_dsa,small-bytes-4k,DSA Prost encode_async_ref submit+poll+complete,,,4088,4105,16781240,6.054158,2.771854,0.675238
prost_async_payload_encode_dsa,large-bytes,DSA Prost encode_async_ref submit+poll+complete,,,16,1048586,16777376,5.388442,3.113586,0.002969
prost_async_payload_encode_dsa_concurrency_matrix,small-bytes-4k,DSA Prost encode concurrency matrix,,1,4088,4105,16781240,5.495688,3.053528,0.743856
prost_async_payload_encode_dsa_concurrency_matrix,small-bytes-4k,DSA Prost encode concurrency matrix,,2,4088,4105,16781240,3.831024,4.380354,1.067078
prost_async_payload_encode_dsa_concurrency_matrix,small-bytes-4k,DSA Prost encode concurrency matrix,,4,4088,4105,16781240,2.658371,6.312603,1.537784
prost_async_payload_encode_dsa_concurrency_matrix,small-bytes-4k,DSA Prost encode concurrency matrix,,8,4088,4105,16781240,2.122258,7.907257,1.926250
prost_async_payload_encode_dsa_concurrency_matrix,small-bytes-4k,DSA Prost encode concurrency matrix,,16,4096,4105,16814080,1.829863,9.188712,2.238419
prost_async_payload_encode_dsa_concurrency_matrix,large-bytes,DSA Prost encode concurrency matrix,,1,16,1048586,16777376,0.606476,27.663714,0.026382
prost_async_payload_encode_dsa_concurrency_matrix,large-bytes,DSA Prost encode concurrency matrix,,2,16,1048586,16777376,0.569882,29.440112,0.028076
prost_async_payload_encode_dsa_concurrency_matrix,large-bytes,DSA Prost encode concurrency matrix,,4,16,1048586,16777376,0.567106,29.584196,0.028213
prost_async_payload_encode_dsa_concurrency_matrix,large-bytes,DSA Prost encode concurrency matrix,,8,16,1048586,16777376,0.591835,28.348044,0.027035
prost_async_payload_encode_dsa_concurrency_matrix,large-bytes,DSA Prost encode concurrency matrix,,16,16,1048586,16777376,0.733669,22.867768,0.021808
prost_async_payload_encode_dsa_thread_matrix,tiny-bytes-128,DSA Prost thread matrix,1,1,122462,137,16777294,98.656770,0.170057,1.241293
prost_async_payload_encode_dsa_thread_matrix,tiny-bytes-128,DSA Prost thread matrix,1,2,122462,137,16777294,69.452678,0.241564,1.763244
prost_async_payload_encode_dsa_thread_matrix,tiny-bytes-128,DSA Prost thread matrix,1,4,122462,137,16777294,51.464290,0.325999,2.379553
