threads,message_bytes,numa0_best_concurrency,numa0_best_mops,numa0_best_gbps,unrestricted_best_concurrency,unrestricted_best_mops,hw_eval_unpinned_best_concurrency,hw_eval_unpinned_best_mops
1,128,64,3.622452724,0.463674,8,3.266872322,8,5.2869025800084595
1,256,32,3.647085604,0.933654,64,3.40926695,32,5.2906880363435
1,1024,32,2.76254721,2.828848,32,2.6096686719999997,16,5.235227496810873
1,4096,8,2.9987736490000003,12.282977,8,2.341176372,32,4.732682326586632
2,128,128,5.983352257,0.765869,64,4.9212888679999995,128,6.387517938279543
2,256,32,6.317458076,1.617269,64,5.3433912470000005,16,6.4985491988913475
2,1024,128,5.740289645,5.878057,32,6.126989657999999,128,6.474202998635022
2,4096,64,5.53830984,22.684917,32,4.073644096,64,5.865119839061111
4,128,128,12.341620363,1.579727,128,12.504724484999999,64,13.012883839408
4,256,64,11.891158819,3.044137,64,9.427301774,128,11.31824548331266
4,1024,64,10.777054737,11.035704,128,11.082784736999999,32,10.655972805957399
4,4096,32,7.212709671,29.543259,32,7.030458417999999,128,6.650107898000645
8,128,128,20.967502207,2.68384,128,6.742017564,128,17.953630261442264
8,256,128,18.2803568,4.679771,64,20.20603225,128,15.773648149060977
8,1024,128,19.325953695,19.789777,128,9.076241481,128,15.664508010437785
8,4096,32,7.13322364,29.217684,32,5.418440507000001,128,6.377195150143088
16,128,128,35.737826201,4.574442,32,7.670970401,64,21.21355687708158
16,256,128,22.954071410999997,5.876242,128,9.672022029999999,64,19.07856872577419
16,1024,128,24.794831434,25.389907,32,11.256303985999999,64,18.614059198912937
16,4096,32,6.79851938,27.846735,32,6.735449734,32,7.15565746404394
32,128,128,46.383626585,5.937104,64,7.290326900999999,128,31.12246072329247
32,256,128,25.148487639,6.438013,128,6.9848988169999995,64,17.21830406161857
32,1024,128,21.776396521000002,22.29903,32,5.806992506,64,19.73098041391897
32,4096,32,7.225742944,29.596643,128,6.401242116000001,64,6.804823485714124
64,128,128,33.442975392,4.280701,,,128,25.724485932323702
64,256,128,23.987961546999998,6.140918,,,128,21.592168250673375
64,1024,64,16.213816739,16.602948,,,128,21.188888679207178
64,4096,32,7.170866778,29.37187,,,64,6.843680116268422
