op,k,submitted,completed_med,missing_med,errors_med,extra_tsc_med,extra_ns_med,extra_tsc_p99,first_old_tsc_med
noop,112,113,113,0,0,24,10,26,4002
noop,113,114,114,0,0,24,10,34,4230
noop,114,115,115,0,0,32,14,34,4462
noop,115,116,116,0,0,86,39,110,4692
noop,116,117,117,0,0,226,102,240,4778
noop,117,118,118,0,0,224,101,238,4730
noop,118,119,119,0,0,224,101,238,4726
noop,119,120,120,0,0,224,101,238,4726
noop,120,121,121,0,0,224,101,238,4728
noop,121,122,122,0,0,224,101,238,4732
noop,122,123,123,0,0,224,101,238,4728
noop,123,124,124,0,0,224,101,238,4726
noop,124,125,125,0,0,224,101,238,4728
memmove64,112,113,113,0,0,32,14,34,4136
memmove64,113,114,114,0,0,28,12,36,4378
memmove64,114,115,115,0,0,24,10,28,4640
memmove64,115,116,116,0,0,194,88,216,4864
memmove64,116,117,117,0,0,224,101,238,4900
memmove64,117,118,118,0,0,224,101,238,4902
memmove64,118,119,119,0,0,224,101,238,4896
memmove64,119,120,120,0,0,224,101,238,4894
memmove64,120,121,121,0,0,224,101,238,4896
memmove64,121,122,122,0,0,222,100,238,4898
memmove64,122,123,123,0,0,222,100,238,4900
memmove64,123,124,124,0,0,226,102,240,4918
memmove64,124,125,125,0,0,228,103,242,5010
