operation,pattern,polling_mode,queue_type,concurrency,msg_size,batch_size,bandwidth_gbps,msg_rate_mps,page_faults,latency_min_ns,latency_max_ns,latency_avg_ns,latency_p50_ns,latency_p99_ns,latency_count
data_move,sliding_window_arena_mirrored_ring_batch_bs16,inline,NoLock,64,8,16,0.0785688,10.5453,0,0,0,0,0,0,0
data_move,sliding_window_arena_mirrored_ring_batch_bs16,inline,Mutex,64,8,16,0,0,0,0,0,0,0,0,0
data_move,sliding_window_arena_mirrored_ring_batch_bs16,inline,TAS,64,8,16,0,0,0,0,0,0,0,0,0
data_move,sliding_window_arena_mirrored_ring_batch_bs16,inline,TTAS,64,8,16,0,0,0,0,0,0,0,0,0
data_move,sliding_window_arena_mirrored_ring_batch_bs16,inline,Backoff,64,8,16,0,0,0,0,0,0,0,0,0
data_move,sliding_window_arena_mirrored_ring_batch_bs16,inline,LockFree,64,8,16,0,0,0,0,0,0,0,0,0
data_move,sliding_window_arena_mirrored_ring_batch_bs16,inline,Indexed,64,8,16,0,0,0,0,0,0,0,0,0
data_move,sliding_window_arena_mirrored_ring_batch_bs16,inline,NoLock,256,8,16,0.0760736,10.2104,0,0,0,0,0,0,0
data_move,sliding_window_arena_mirrored_ring_batch_bs16,inline,Mutex,256,8,16,0,0,0,0,0,0,0,0,0
data_move,sliding_window_arena_mirrored_ring_batch_bs16,inline,TAS,256,8,16,0,0,0,0,0,0,0,0,0
data_move,sliding_window_arena_mirrored_ring_batch_bs16,inline,TTAS,256,8,16,0,0,0,0,0,0,0,0,0
data_move,sliding_window_arena_mirrored_ring_batch_bs16,inline,Backoff,256,8,16,0,0,0,0,0,0,0,0,0
data_move,sliding_window_arena_mirrored_ring_batch_bs16,inline,LockFree,256,8,16,0,0,0,0,0,0,0,0,0
data_move,sliding_window_arena_mirrored_ring_batch_bs16,inline,Indexed,256,8,16,0,0,0,0,0,0,0,0,0
data_move,sliding_window_arena_mirrored_ring_batch_bs16,inline,NoLock,1024,8,16,0.0777702,10.4381,0,0,0,0,0,0,0
data_move,sliding_window_arena_mirrored_ring_batch_bs16,inline,Mutex,1024,8,16,0,0,0,0,0,0,0,0,0
data_move,sliding_window_arena_mirrored_ring_batch_bs16,inline,TAS,1024,8,16,0,0,0,0,0,0,0,0,0
data_move,sliding_window_arena_mirrored_ring_batch_bs16,inline,TTAS,1024,8,16,0,0,0,0,0,0,0,0,0
data_move,sliding_window_arena_mirrored_ring_batch_bs16,inline,Backoff,1024,8,16,0,0,0,0,0,0,0,0,0
data_move,sliding_window_arena_mirrored_ring_batch_bs16,inline,LockFree,1024,8,16,0,0,0,0,0,0,0,0,0
data_move,sliding_window_arena_mirrored_ring_batch_bs16,inline,Indexed,1024,8,16,0,0,0,0,0,0,0,0,0
data_move,sliding_window_arena_mirrored_ring_batch_bs32,inline,NoLock,64,8,32,0.0876292,11.7614,0,0,0,0,0,0,0
data_move,sliding_window_arena_mirrored_ring_batch_bs32,inline,Mutex,64,8,32,0,0,0,0,0,0,0,0,0
data_move,sliding_window_arena_mirrored_ring_batch_bs32,inline,TAS,64,8,32,0,0,0,0,0,0,0,0,0
data_move,sliding_window_arena_mirrored_ring_batch_bs32,inline,TTAS,64,8,32,0,0,0,0,0,0,0,0,0
data_move,sliding_window_arena_mirrored_ring_batch_bs32,inline,Backoff,64,8,32,0,0,0,0,0,0,0,0,0
data_move,sliding_window_arena_mirrored_ring_batch_bs32,inline,LockFree,64,8,32,0,0,0,0,0,0,0,0,0
data_move,sliding_window_arena_mirrored_ring_batch_bs32,inline,Indexed,64,8,32,0,0,0,0,0,0,0,0,0
data_move,sliding_window_arena_mirrored_ring_batch_bs32,inline,NoLock,256,8,32,0.0766602,10.2892,0,0,0,0,0,0,0
data_move,sliding_window_arena_mirrored_ring_batch_bs32,inline,Mutex,256,8,32,0,0,0,0,0,0,0,0,0
data_move,sliding_window_arena_mirrored_ring_batch_bs32,inline,TAS,256,8,32,0,0,0,0,0,0,0,0,0
data_move,sliding_window_arena_mirrored_ring_batch_bs32,inline,TTAS,256,8,32,0,0,0,0,0,0,0,0,0
